Municipio;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;ID
  Abanilla;6.063;6.158;6.184;6.347;6.435;6.560;6.569;6.633;6.585;6.589;30001
  Abarÿn;13.030;13.089;13.183;13.179;13.086;13.157;13.110;12.986;12.974;12.991;30002
  æguilas;35.031;34.758;34.706;34.772;34.632;34.930;34.828;34.990;34.900;34.533;30003
  Albudeite;1.361;1.359;1.378;1.374;1.383;1.371;1.404;1.447;1.350;1.369;30004
  Alcantarilla;41.622;41.331;41.155;41.021;40.907;40.695;41.381;41.568;41.326;41.084;30005
  Alcÿzares (Los);15.674;15.349;15.289;15.605;15.735;16.568;16.251;16.217;15.993;15.619;30902
  Aledo;1.022;945;941;984;986;1.004;1.025;1.044;1.053;1.066;30006
  Alguazas;9.525;9.557;9.613;9.544;9.593;9.544;9.460;9.288;9.146;8.978;30007
  Alhama de Murcia;21.657;21.448;21.308;21.351;21.298;21.182;20.915;20.725;20.269;19.860;30008
  Archena;19.053;18.771;18.734;18.559;18.570;18.369;18.496;18.083;18.135;18.202;30009
  Beniel;11.274;11.233;11.114;11.096;11.112;11.160;11.198;11.068;11.027;10.933;30010
  Blanca;6.564;6.521;6.521;6.521;6.477;6.460;6.493;6.489;6.456;6.370;30011
  Bullas;11.547;11.546;11.714;11.753;12.061;12.288;12.321;12.361;12.424;12.493;30012
  Calasparra;10.165;10.214;10.268;10.423;10.527;10.558;10.661;10.685;10.851;10.759;30013
  Campos del R­o;2.045;2.022;2.003;2.083;2.100;2.176;2.220;2.226;2.169;2.210;30014
  Caravaca de la Cruz;25.730;25.633;25.591;25.851;26.280;26.024;26.415;26.438;26.449;26.415;30015
  Cartagena;213.943;214.177;214.759;216.301;216.451;217.641;216.655;214.918;214.165;211.996;30016
  Ceheg­n;15.022;15.193;15.321;15.794;15.955;16.267;16.248;16.286;16.299;16.235;30017
  Ceut­;11.565;11.472;11.321;11.227;11.035;10.967;10.881;10.729;10.448;10.174;30018
  Cieza;34.889;34.987;35.134;35.115;35.064;35.240;35.351;35.425;35.385;35.200;30019
  Fortuna;10.060;10.049;9.960;9.814;9.714;9.623;10.098;10.002;9.813;9.583;30020
  Fuente ælamo;16.184;16.180;16.205;16.284;16.338;16.679;16.175;15.873;15.193;14.876;30021
  Jumilla;25.547;25.672;25.362;25.484;25.476;25.710;25.711;25.926;26.015;25.685;30022
  Librilla;5.196;5.160;5.107;5.016;4.900;4.839;4.842;4.730;4.614;4.534;30023
  Lorca;93.079;92.299;91.730;91.714;91.759;92.718;92.865;92.869;92.694;91.906;30024
  Lorqu­;7.002;7.039;6.969;7.020;6.948;6.954;6.983;7.048;7.038;6.996;30025
  Mazarr½n;31.562;30.996;30.704;32.150;32.718;35.661;35.408;35.473;35.464;35.221;30026
  Molina de Segura;70.964;70.344;69.614;69.331;68.775;68.450;67.382;66.775;65.815;64.065;30027
  Moratalla;7.954;8.048;8.145;8.189;8.219;8.229;8.290;8.382;8.444;8.455;30028
  Mula;16.790;16.713;16.689;16.805;17.008;17.057;16.968;17.067;17.076;16.941;30029
  Murcia;447.182;443.243;441.003;439.889;439.712;438.246;441.354;442.203;441.345;436.870;30030
  Oj½s;500;494;497;504;518;531;562;610;582;584;30031
  Pliego;3.842;3.873;3.933;3.973;3.937;3.901;4.051;4.027;4.045;4.034;30032
  Puerto Lumbreras;14.981;15.020;14.874;14.694;14.610;14.564;14.742;14.339;14.120;13.947;30033
  Ricote;1.301;1.315;1.332;1.369;1.398;1.417;1.452;1.456;1.441;1.519;30034
  San Javier;31.905;31.695;31.782;31.915;31.988;32.786;32.641;32.366;31.820;31.432;30035
  San Pedro del Pinatar;25.167;24.903;24.660;24.339;24.091;24.102;24.285;24.093;23.903;23.738;30036
  Santomera;16.105;16.058;15.952;16.012;15.860;15.793;15.709;15.649;15.481;15.319;30901
  Torre-Pacheco;35.614;35.198;34.630;34.469;34.151;33.575;33.911;33.218;32.471;31.495;30037
  Torres de Cotillas (Las);21.375;21.420;21.341;21.399;21.404;21.565;21.608;21.443;21.282;21.062;30038
  Totana;31.639;31.394;30.981;30.916;30.669;30.448;30.549;29.961;29.333;29.211;30039
  Ulea;879;891;913;906;912;935;926;919;921;939;30040
  Uni½n (La);19.907;19.764;19.630;19.572;19.452;19.263;19.009;18.825;18.366;17.737;30041
  Villanueva del R­o Segura;2.758;2.650;2.560;2.524;2.444;2.449;2.445;2.396;2.354;2.270;30042
  Yecla;34.234;34.092;34.037;34.100;34.130;34.393;34.601;34.813;34.945;35.025;30043
